nct_id,snapshot_months,start_year,label,duration_days,phase_num,sponsor_num,is_industry,log_planned_enrollment,n_arms,n_countries,is_multinational,n_primary_outcomes,log_n_eligibility_chars,has_drug,has_device,has_biological,n_sites,n_status_changes,had_suspension,n_amendments,enrollment_velocity,enrollment_still_anticipated,status_is_recruiting,status_is_active_not_rec,status_is_suspended,status_is_not_yet_rec,elapsed_days
NCT01252693,6,2010,0,1642.0,2,0,1,5.318119993844216,2,1,0,1,7.516977224604321,1,0,0,3,0,0,0,1.1153846153846154,0,0,0,0,0,182
NCT01252693,12,2010,0,1642.0,2,0,1,5.318119993844216,2,1,0,1,7.516977224604321,1,0,0,3,0,0,0,0.5576923076923077,0,0,0,0,0,364
NCT00128921,3,2006,1,671.0,2,4,0,2.9444389791664403,3,1,0,5,8.075271546297458,1,0,0,1,0,0,0,0.1978021978021978,0,0,0,0,0,91
NCT00128921,6,2006,1,671.0,2,4,0,2.9444389791664403,3,1,0,5,8.075271546297458,1,0,0,1,0,0,0,0.0989010989010989,0,0,0,0,0,182
NCT00128921,12,2006,1,671.0,2,4,0,2.9444389791664403,3,1,0,5,8.075271546297458,1,0,0,1,0,0,0,0.04945054945054945,0,0,0,0,0,364
NCT00081614,3,2004,0,487.0,2,0,1,4.61512051684126,0,1,0,0,8.023552392404348,1,0,0,20,0,0,0,1.098901098901099,0,0,0,0,0,91
NCT00081614,6,2004,0,487.0,2,0,1,4.61512051684126,0,1,0,0,8.023552392404348,1,0,0,20,0,0,0,0.5494505494505495,0,0,0,0,0,182
NCT00081614,12,2004,0,487.0,2,0,1,4.61512051684126,0,1,0,0,8.023552392404348,1,0,0,20,0,0,0,0.27472527472527475,0,0,0,0,0,364
NCT03000452,3,2017,0,265.0,2,0,1,2.9444389791664403,1,6,1,1,9.239025005836092,1,0,0,25,0,0,0,0.1978021978021978,0,0,0,0,0,91
NCT03000452,6,2017,0,265.0,2,0,1,2.9444389791664403,1,6,1,1,9.239025005836092,1,0,0,25,0,0,0,0.0989010989010989,0,0,0,0,0,182
NCT02825147,3,2013,0,1399.0,2,4,0,3.713572066704308,1,1,0,1,6.663132695990803,1,0,0,1,0,0,0,0.43956043956043955,0,0,0,0,0,91
NCT02825147,6,2013,0,1399.0,2,4,0,3.713572066704308,1,1,0,1,6.663132695990803,1,0,0,1,0,0,0,0.21978021978021978,0,0,0,0,0,182
NCT02825147,12,2013,0,1399.0,2,4,0,3.713572066704308,1,1,0,1,6.663132695990803,1,0,0,1,0,0,0,0.10989010989010989,0,0,0,0,0,364
NCT00630149,3,2007,0,1522.0,2,4,0,3.58351893845611,1,1,0,1,8.272570608424903,1,0,0,1,0,0,0,0.38461538461538464,0,0,0,0,0,91
NCT00630149,6,2007,0,1522.0,2,4,0,3.58351893845611,1,1,0,1,8.272570608424903,1,0,0,1,0,0,0,0.19230769230769232,0,0,0,0,0,182
